winter_el,winter_th,interm_el,interm_th,summer_el,summer_th
0.068316667,0.438959385,0.065016667,2.180853832,0.10623333300000001,1.949854969
0.070816667,0.7288189840000001,0.1041,2.000449951,0.170083333,1.8143743940000001
0.13146666699999998,0.72882905,0.110733333,1.8164921459999999,0.211933333,1.451878442
0.134583333,1.0894470440000001,0.117683333,1.816497094,0.175533333,1.451882371
0.14005,1.45195121,0.095733333,1.816502014,0.1823,1.4518861840000001
0.155733333,1.4519552690000002,0.15766666699999998,1.452009395,0.156066667,1.4518898880000002
0.1585,1.29294193,0.16765,1.452010786,0.1372,1.451893487
0.162233333,1.112122625,0.1723,1.4520120890000001,0.143766667,1.089396986
0.135133333,1.089048652,0.1794,1.089513415,0.149316667,1.089400388
0.135116667,1.0890513000000002,0.18211666699999998,1.089514761,0.12296666699999999,1.089403698
0.1601,0.9703970829999999,0.170616667,1.3223704090000001,0.12525,1.0033348579999999
0.16413333300000002,0.7304723559999999,0.170616667,1.310909255,0.13776666699999998,0.385762765
0.21655,0.5855363379999999,0.204683333,1.309129039,0.145866667,0.33904185299999995
0.218766667,0.49467848,0.2021,1.307418057,0.177366667,0.33627038
0.22421666699999998,0.223773356,0.2066,1.3057736709999999,0.18265,0.329853808
0.1901,0.222249377,0.1802,1.304193264,0.221933333,0.220128159
0.238616667,0.583285206,0.18600000000000003,1.1954313429999999,0.193916667,0.767821865
0.240083333,0.581878541,0.19468333300000001,1.194682035,0.190033333,0.581272908
0.247283333,0.580527165,0.193583333,1.19396191,0.28355,0.579711234
0.250433333,0.579228948,0.235033333,1.175518747,0.3742,0.578197318
0.303233333,0.577981841,0.238716667,1.0583555740000001,0.530283333,0.57674782
0.3007,0.8577960290000001,0.237683333,0.70136818,0.45841666700000006,0.575365517
0.307833333,0.577422753,0.204083333,0.698880878,0.42486666700000003,0.5740358720000001
0.31005,0.46929578899999996,0.20273333300000002,0.6964904270000001,0.29165,0.469011003
0.315816667,0.468778669,0.20600000000000002,0.469249953,0.300216667,0.36445623299999996
0.31911666699999996,0.46828248899999997,0.15391666699999998,0.444877498,0.296133333,0.36445825200000004
0.323633333,0.352002981,0.151066667,0.331656809,0.232716667,0.324677909
0.329433333,0.150614801,0.15785,0.329509913,0.230083333,0.11295780300000001
0.34461666700000004,0.118322981,0.20235,0.327446829,0.272583333,0.11193568699999999
0.34421666700000003,0.11741793699999999,0.230733333,0.325495356,0.270883333,0.11092771
0.3378,0.116548297,0.25145,0.32362019,0.27125,0.109957918
0.339133333,0.17731976300000002,0.251316667,0.321818492,0.240433333,0.001968548
0.322466667,0.11695761,0.227483333,0.38144918299999997,0.244666667,0.364469891
0.363016667,0.478689381,0.200966667,0.32049499800000003,0.24205,0.36447120200000005
0.390033333,0.47795157,0.2026,0.31893086,0.23755,0.364472046
0.395033333,0.477243034,0.20501666699999999,0.38033065200000005,0.240016667,0.36447287799999994
0.3162,0.538472973,0.20685,0.36376147200000003,0.25761666699999997,0.364473534
0.291166667,0.57335403,0.213316667,0.221553213,0.26565,0.364474349
0.278883333,0.37232029299999997,0.21963333300000001,0.22052964100000003,0.2675,0.159225325
0.28423333300000003,0.974640189,0.21945,0.11603016199999999,0.313266667,0.0038472420000000003
0.257216667,0.872699895,0.28323333300000003,0.115542947,0.347816667,0.366348322
0.256333333,0.512088674,0.297066667,0.11507505800000001,0.36236666700000003,0.36634407799999996
0.2582,0.375456247,0.319633333,0.114625499,0.398766667,0.255910629
0.22768333300000002,0.026706546,0.320916667,0.47669384,0.36971666700000005,0.005413736
0.22825,0.07101022900000001,0.31595,0.123683726,0.35205,0.118631705
0.22815,0.018571877,0.294683333,0.012321661999999999,0.316033333,0.009077336
0.22965,0.018591793,0.298616667,0.012330219,0.31625,0.009081871
0.224833333,0.018611743,0.300366667,0.012338288000000001,0.28185,0.009086596
0.227033333,0.018632162,0.2642,0.012346297,0.296533333,0.009091495
0.23273333300000001,0.018652857,0.2699,0.012354964,0.299783333,0.009096245
